--- TOP PROCESSES ---
Mem: 392740K used, 515736K free, 6060K shrd, 8208K buff, 48416K cached
CPU:   2% usr   0% sys   0% nic  97% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.02 0.00 2/175 4890
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
16149 14591 root     S    28020   3%   1   0% nginx: worker process
16150 14591 root     S    27796   3%   3   0% nginx: worker process
16148 14591 root     S    27256   3%   1   0% nginx: worker process
16154 14591 root     S    26788   3%   0   0% nginx: worker process
/usr/lib/opkg/info/gl-sdk4-vpn-policy.control:Installed-Size: 2747
/usr/lib/opkg/info/gl-sdk4-webdav.control:Installed-Size: 146121
/usr/lib/opkg/info/gl-sdk4-wg-client.control:Installed-Size: 67433
/usr/lib/opkg/info/gl-sdk4-wg-server.control:Installed-Size: 24885
/usr/lib/opkg/info/gl-sdk4-wifi.control:Installed-Size: 40389
/usr/lib/opkg/info/gl-sdk4-zerotier.control:Installed-Size: 3104
/usr/lib/opkg/info/i2c-tools.control:Installed-Size: 36328
/usr/lib/opkg/info/ip-bridge.control:Installed-Size: 39943
/usr/lib/opkg/info/ip-full.control:Installed-Size: 251374
/usr/lib/opkg/info/ip6tables-nft.control:Installed-Size: 247
/usr/lib/opkg/info/iperf.control:Installed-Size: 101253
/usr/lib/opkg/info/ipset.control:Installed-Size: 1656
/usr/lib/opkg/info/iptables-mod-conntrack-extra.control:Installed-Size: 17144
/usr/lib/opkg/info/iptables-mod-extra.control:Installed-Size: 13462
/usr/lib/opkg/info/iptables-mod-filter.control:Installed-Size: 6545
/usr/lib/opkg/info/iptables-mod-fullconenat.control:Installed-Size: 5444
/usr/lib/opkg/info/iptables-mod-ipopt.control:Installed-Size: 28010
/usr/lib/opkg/info/iptables-mod-ipsec.control:Installed-Size: 8066
/usr/lib/opkg/info/iptables-mod-nat-extra.control:Installed-Size: 3519
/usr/lib/opkg/info/iptables-mod-physdev.control:Installed-Size: 2141
/usr/lib/opkg/info/iptables-mod-tproxy.control:Installed-Size: 2152
/usr/lib/opkg/info/iptables-nft.control:Installed-Size: 241
/usr/lib/opkg/info/iputils-tracepath.control:Installed-Size: 6713
/usr/lib/opkg/info/isc-dhcp-relay-ipv6.control:Installed-Size: 1055112
/usr/lib/opkg/info/iw.control:Installed-Size: 60611
/usr/lib/opkg/info/iwinfo.control:Installed-Size: 7499
/usr/lib/opkg/info/jansson4.control:Installed-Size: 25745
/usr/lib/opkg/info/jshn.control:Installed-Size: 7223
/usr/lib/opkg/info/jsonfilter.control:Installed-Size: 11213
/usr/lib/opkg/info/kernel.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-arptables.control:Installed-Size: 15648
/usr/lib/opkg/info/kmod-asn1-decoder.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-ata-ahci.control:Installed-Size: 7476
/usr/lib/opkg/info/kmod-ata-core.control:Installed-Size: 103933
/usr/lib/opkg/info/kmod-backlight-pwm.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-backlight.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-block2mtd.control:Installed-Size: 4283
/usr/lib/opkg/info/kmod-bonding.control:Installed-Size: 69637
/usr/lib/opkg/info/kmod-bootconfig.control:Installed-Size: 8388
/usr/lib/opkg/info/kmod-br-netfilter.control:Installed-Size: 378
/usr/lib/opkg/info/kmod-button-hotplug.control:Installed-Size: 3286
/usr/lib/opkg/info/kmod-cfg80211-internal.control:Installed-Size: 157578
/usr/lib/opkg/info/kmod-crypto-acompress.control:Installed-Size: 193
/usr/lib/opkg/info/kmod-crypto-aead.control:Installed-Size: 228
/usr/lib/opkg/info/kmod-crypto-arc4.control:Installed-Size: 184
/usr/lib/opkg/info/kmod-crypto-authenc.control:Installed-Size: 193
/usr/lib/opkg/info/kmod-crypto-cbc.control:Installed-Size: 182
/usr/lib/opkg/info/kmod-crypto-chacha20poly1305.control:Installed-Size: 4106
/usr/lib/opkg/info/kmod-crypto-crc32.control:Installed-Size: 1329
/usr/lib/opkg/info/kmod-crypto-crc32c.control:Installed-Size: 238
/usr/lib/opkg/info/kmod-crypto-ctr.control:Installed-Size: 182
/usr/lib/opkg/info/kmod-crypto-deflate.control:Installed-Size: 187
/usr/lib/opkg/info/kmod-crypto-des.control:Installed-Size: 191
/usr/lib/opkg/info/kmod-crypto-ecb.control:Installed-Size: 183
/usr/lib/opkg/info/kmod-crypto-echainiv.control:Installed-Size: 189
/usr/lib/opkg/info/kmod-crypto-gcm.control:Installed-Size: 184
/usr/lib/opkg/info/kmod-crypto-gf128.control:Installed-Size: 189
/usr/lib/opkg/info/kmod-crypto-ghash.control:Installed-Size: 194
/usr/lib/opkg/info/kmod-crypto-hash.control:Installed-Size: 234
/usr/lib/opkg/info/kmod-crypto-hmac.control:Installed-Size: 185
/usr/lib/opkg/info/kmod-crypto-lib-chacha20.control:Installed-Size: 5957
/usr/lib/opkg/info/kmod-crypto-lib-chacha20poly1305.control:Installed-Size: 49056
/usr/lib/opkg/info/kmod-crypto-lib-poly1305.control:Installed-Size: 4632
/usr/lib/opkg/info/kmod-crypto-manager.control:Installed-Size: 235
/usr/lib/opkg/info/kmod-crypto-md5.control:Installed-Size: 3442
/usr/lib/opkg/info/kmod-crypto-null.control:Installed-Size: 188
/usr/lib/opkg/info/kmod-crypto-rng.control:Installed-Size: 202
/usr/lib/opkg/info/kmod-crypto-seqiv.control:Installed-Size: 186
/usr/lib/opkg/info/kmod-crypto-sha1.control:Installed-Size: 192
/usr/lib/opkg/info/kmod-crypto-sha512.control:Installed-Size: 194
/usr/lib/opkg/info/kmod-crypto-user.control:Installed-Size: 21492
/usr/lib/opkg/info/kmod-diag-char.control:Installed-Size: 138197
/usr/lib/opkg/info/kmod-emesh-sp.control:Installed-Size: 13028
/usr/lib/opkg/info/kmod-fb-sys-fops.control:Installed-Size: 189
/usr/lib/opkg/info/kmod-fb-sys-ram.control:Installed-Size: 206
/usr/lib/opkg/info/kmod-fb-tft-glinet-logo.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-fb-tft-st7789p3.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-fb-tft.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-fb.control:Installed-Size: 178
/usr/lib/opkg/info/kmod-fs-configfs.control:Installed-Size: 184
/usr/lib/opkg/info/kmod-fs-exfat.control:Installed-Size: 47777
/usr/lib/opkg/info/kmod-fs-ext4.control:Installed-Size: 235
/usr/lib/opkg/info/kmod-fs-f2fs.control:Installed-Size: 166811
/usr/lib/opkg/info/kmod-fs-msdos.control:Installed-Size: 5209
/usr/lib/opkg/info/kmod-fs-ntfs.control:Installed-Size: 46804
/usr/lib/opkg/info/kmod-fs-vfat.control:Installed-Size: 47814
/usr/lib/opkg/info/kmod-fuse.control:Installed-Size: 52933
/usr/lib/opkg/info/kmod-gl-sdk4-black_white_list.control:Installed-Size: 10279
/usr/lib/opkg/info/kmod-gl-sdk4-dns-mark.control:Installed-Size: 10773
/usr/lib/opkg/info/kmod-gl-sdk4-fan.control:Installed-Size: 7523
/usr/lib/opkg/info/kmod-gl-sdk4-hw-check.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-gl-sdk4-hw-info.control:Installed-Size: 6477
/usr/lib/opkg/info/kmod-gl-sdk4-kmwan.control:Installed-Size: 31120
/usr/lib/opkg/info/kmod-gl-sdk4-mpflow_statistics.control:Installed-Size: 7928
/usr/lib/opkg/info/kmod-gl-sdk4-mtd-rw.control:Installed-Size: 2283
/usr/lib/opkg/info/kmod-gl-sdk4-parental-control.control:Installed-Size: 45470
/usr/lib/opkg/info/kmod-gl-sdk4-repeater.control:Installed-Size: 3361
/usr/lib/opkg/info/kmod-gl-sdk4-tertf.control:Installed-Size: 13777
/usr/lib/opkg/info/kmod-gpio-button-hotplug.control:Installed-Size: 6468
/usr/lib/opkg/info/kmod-gre.control:Installed-Size: 13965
/usr/lib/opkg/info/kmod-gre6.control:Installed-Size: 16123
/usr/lib/opkg/info/kmod-hwmon-core.control:Installed-Size: 5858
/usr/lib/opkg/info/kmod-hwmon-pwmfan.control:Installed-Size: 4026
/usr/lib/opkg/info/kmod-i2c-algo-bit.control:Installed-Size: 3708
/usr/lib/opkg/info/kmod-i2c-core.control:Installed-Size: 187
/usr/lib/opkg/info/kmod-i2c-gpio.control:Installed-Size: 3013
/usr/lib/opkg/info/kmod-ifb.control:Installed-Size: 3745
/usr/lib/opkg/info/kmod-ikconfig.control:Installed-Size: 182
/usr/lib/opkg/info/kmod-inet-diag.control:Installed-Size: 11970
/usr/lib/opkg/info/kmod-input-core.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-input-evdev.control:Installed-Size: 13818
/usr/lib/opkg/info/kmod-input-touchscreen-cst816d.control:Installed-Size: 4078
/usr/lib/opkg/info/kmod-ip6-tunnel.control:Installed-Size: 18761
/usr/lib/opkg/info/kmod-ip6tables.control:Installed-Size: 3661
/usr/lib/opkg/info/kmod-ipsec.control:Installed-Size: 36568
/usr/lib/opkg/info/kmod-ipsec4.control:Installed-Size: 13659
/usr/lib/opkg/info/kmod-ipsec6.control:Installed-Size: 15325
/usr/lib/opkg/info/kmod-ipt-conntrack-extra.control:Installed-Size: 11211
/usr/lib/opkg/info/kmod-ipt-conntrack.control:Installed-Size: 5228
/usr/lib/opkg/info/kmod-ipt-core.control:Installed-Size: 13808
/usr/lib/opkg/info/kmod-ipt-extra.control:Installed-Size: 5951
/usr/lib/opkg/info/kmod-ipt-filter.control:Installed-Size: 3011
/usr/lib/opkg/info/kmod-ipt-fullconenat.control:Installed-Size: 9495
/usr/lib/opkg/info/kmod-ipt-ipopt.control:Installed-Size: 7326
/usr/lib/opkg/info/kmod-ipt-ipsec.control:Installed-Size: 3891
/usr/lib/opkg/info/kmod-ipt-ipset.control:Installed-Size: 217451
/usr/lib/opkg/info/kmod-ipt-nat-extra.control:Installed-Size: 2117
/usr/lib/opkg/info/kmod-ipt-nat.control:Installed-Size: 4912
/usr/lib/opkg/info/kmod-ipt-nat6.control:Installed-Size: 2889
/usr/lib/opkg/info/kmod-ipt-nathelper-rtsp.control:Installed-Size: 11304
/usr/lib/opkg/info/kmod-ipt-physdev.control:Installed-Size: 1749
/usr/lib/opkg/info/kmod-ipt-raw.control:Installed-Size: 1858
/usr/lib/opkg/info/kmod-ipt-raw6.control:Installed-Size: 1866
/usr/lib/opkg/info/kmod-ipt-sctp.control:Installed-Size: 2507
/usr/lib/opkg/info/kmod-ipt-tproxy.control:Installed-Size: 3465
/usr/lib/opkg/info/kmod-iptunnel.control:Installed-Size: 10233
/usr/lib/opkg/info/kmod-iptunnel4.control:Installed-Size: 2229
/usr/lib/opkg/info/kmod-iptunnel6.control:Installed-Size: 2214
/usr/lib/opkg/info/kmod-l2tp-eth.control:Installed-Size: 3589
/usr/lib/opkg/info/kmod-l2tp-ip.control:Installed-Size: 11531
/usr/lib/opkg/info/kmod-l2tp.control:Installed-Size: 17589
/usr/lib/opkg/info/kmod-leds-gpio.control:Installed-Size: 3114
/usr/lib/opkg/info/kmod-lib-crc-ccitt.control:Installed-Size: 2108
/usr/lib/opkg/info/kmod-lib-crc16.control:Installed-Size: 224
/usr/lib/opkg/info/kmod-lib-crc32c.control:Installed-Size: 1449
/usr/lib/opkg/info/kmod-lib-textsearch.control:Installed-Size: 4040
/usr/lib/opkg/info/kmod-lib-zlib-deflate.control:Installed-Size: 188
/usr/lib/opkg/info/kmod-lib-zlib-inflate.control:Installed-Size: 190
/usr/lib/opkg/info/kmod-macvlan.control:Installed-Size: 10466
/usr/lib/opkg/info/kmod-mii.control:Installed-Size: 3687
/usr/lib/opkg/info/kmod-mpls.control:Installed-Size: 18803
/usr/lib/opkg/info/kmod-mppe.control:Installed-Size: 3821
/usr/lib/opkg/info/kmod-mptcp.control:Installed-Size: 174
/usr/lib/opkg/info/kmod-mtdoops.control:Installed-Size: 4236
/usr/lib/opkg/info/kmod-nat46.control:Installed-Size: 21366
/usr/lib/opkg/info/kmod-nf-conncount.control:Installed-Size: 5711
/usr/lib/opkg/info/kmod-nf-conntrack-netlink.control:Installed-Size: 16068
/usr/lib/opkg/info/kmod-nf-conntrack-sip.control:Installed-Size: 11807
/usr/lib/opkg/info/kmod-nf-conntrack.control:Installed-Size: 64823
/usr/lib/opkg/info/kmod-nf-conntrack6.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-nf-flow.control:Installed-Size: 9543
/usr/lib/opkg/info/kmod-nf-ipt.control:Installed-Size: 30381
/usr/lib/opkg/info/kmod-nf-ipt6.control:Installed-Size: 14422
/usr/lib/opkg/info/kmod-nf-log.control:Installed-Size: 5993
/usr/lib/opkg/info/kmod-nf-log6.control:Installed-Size: 3753
/usr/lib/opkg/info/kmod-nf-nat-sip.control:Installed-Size: 5914
/usr/lib/opkg/info/kmod-nf-nat.control:Installed-Size: 17287
/usr/lib/opkg/info/kmod-nf-nat6.control:Installed-Size: 95
/usr/lib/opkg/info/kmod-nf-nathelper-extra.control:Installed-Size: 44158
/usr/lib/opkg/info/kmod-nf-nathelper.control:Installed-Size: 8067
/usr/lib/opkg/info/kmod-nf-reject.control:Installed-Size: 2405
/usr/lib/opkg/info/kmod-nf-reject6.control:Installed-Size: 3318
/usr/lib/opkg/info/kmod-nf-socket.control:Installed-Size: 2907
/usr/lib/opkg/info/kmod-nf-tproxy.control:Installed-Size: 3521
/usr/lib/opkg/info/kmod-nfnetlink.control:Installed-Size: 4870
/usr/lib/opkg/info/kmod-nft-compat.control:Installed-Size: 5185
/usr/lib/opkg/info/kmod-nft-core.control:Installed-Size: 93030
/usr/lib/opkg/info/kmod-nft-fib.control:Installed-Size: 5754
/usr/lib/opkg/info/kmod-nft-nat.control:Installed-Size: 4832
/usr/lib/opkg/info/kmod-nft-netdev.control:Installed-Size: 3498
/usr/lib/opkg/info/kmod-nft-offload.control:Installed-Size: 3524
/usr/lib/opkg/info/kmod-nft-socket.control:Installed-Size: 2010
/usr/lib/opkg/info/kmod-nft-tproxy.control:Installed-Size: 2805
/usr/lib/opkg/info/kmod-nls-base.control:Installed-Size: 3640
/usr/lib/opkg/info/kmod-nls-cp437.control:Installed-Size: 2310
/usr/lib/opkg/info/kmod-nls-iso8859-1.control:Installed-Size: 2003
/usr/lib/opkg/info/kmod-nls-utf8.control:Installed-Size: 1363
/usr/lib/opkg/info/kmod-nsh.control:Installed-Size: 2439
/usr/lib/opkg/info/kmod-nss-udp-st-drv.control:Installed-Size: 9722
/usr/lib/opkg/info/kmod-openvswitch.control:Installed-Size: 63221
/usr/lib/opkg/info/kmod-ovpn-dco-v2.control:Installed-Size: 30767
/usr/lib/opkg/info/kmod-ppp.control:Installed-Size: 32550
/usr/lib/opkg/info/kmod-pppoe.control:Installed-Size: 9402
/usr/lib/opkg/info/kmod-pppol2tp.control:Installed-Size: 12107
/usr/lib/opkg/info/kmod-pppox.control:Installed-Size: 2600
/usr/lib/opkg/info/kmod-pptp.control:Installed-Size: 7908
/usr/lib/opkg/info/kmod-qca-cnss.control:Installed-Size: 154935
/usr/lib/opkg/info/kmod-qca-mcs.control:Installed-Size: 29050
/usr/lib/opkg/info/kmod-qca-nss-dp.control:Installed-Size: 78592
/usr/lib/opkg/info/kmod-qca-nss-ecm-premium.control:Installed-Size: 550524
/usr/lib/opkg/info/kmod-qca-nss-ecm-wifi-plugin.control:Installed-Size: 5344
/usr/lib/opkg/info/kmod-qca-nss-eip-crypto.control:Installed-Size: 14538
/usr/lib/opkg/info/kmod-qca-nss-eip-ipsec.control:Installed-Size: 24630
/usr/lib/opkg/info/kmod-qca-nss-eip.control:Installed-Size: 37822
/usr/lib/opkg/info/kmod-qca-nss-fls.control:Installed-Size: 16255
/usr/lib/opkg/info/kmod-qca-nss-macsec.control:Installed-Size: 88082
/usr/lib/opkg/info/kmod-qca-nss-nsm.control:Installed-Size: 6816
/usr/lib/opkg/info/kmod-qca-nss-ppe-bridge-mgr.control:Installed-Size: 15285
/usr/lib/opkg/info/kmod-qca-nss-ppe-ds.control:Installed-Size: 11127
/usr/lib/opkg/info/kmod-qca-nss-ppe-gretap.control:Installed-Size: 6221
/usr/lib/opkg/info/kmod-qca-nss-ppe-l2tp.control:Installed-Size: 9303
/usr/lib/opkg/info/kmod-qca-nss-ppe-lag-mgr.control:Installed-Size: 4706
/usr/lib/opkg/info/kmod-qca-nss-ppe-mapt.control:Installed-Size: 6111
/usr/lib/opkg/info/kmod-qca-nss-ppe-mirror-test.control:Installed-Size: 7308
/usr/lib/opkg/info/kmod-qca-nss-ppe-netlink.control:Installed-Size: 6423
/usr/lib/opkg/info/kmod-qca-nss-ppe-pppoe-mgr.control:Installed-Size: 4436
/usr/lib/opkg/info/kmod-qca-nss-ppe-qdisc.control:Installed-Size: 46614
/usr/lib/opkg/info/kmod-qca-nss-ppe-rule.control:Installed-Size: 44179
/usr/lib/opkg/info/kmod-qca-nss-ppe-tun.control:Installed-Size: 14702
/usr/lib/opkg/info/kmod-qca-nss-ppe-tunipip6.control:Installed-Size: 5215
/usr/lib/opkg/info/kmod-qca-nss-ppe-vlan-mgr.control:Installed-Size: 20650
/usr/lib/opkg/info/kmod-qca-nss-ppe-vp.control:Installed-Size: 15603
/usr/lib/opkg/info/kmod-qca-nss-ppe-vxlanmgr.control:Installed-Size: 16319
/usr/lib/opkg/info/kmod-qca-nss-ppe.control:Installed-Size: 216647
/usr/lib/opkg/info/kmod-qca-nss-sfe.control:Installed-Size: 113619
/usr/lib/opkg/info/kmod-qca-ovsmgr.control:Installed-Size: 21641
/usr/lib/opkg/info/kmod-qca-ssdk-nohnat.control:Installed-Size: 668512
/usr/lib/opkg/info/kmod-qca-wifi-unified-profile.control:Installed-Size: 5907604
/usr/lib/opkg/info/kmod-qca8k.control:Installed-Size: 8866
/usr/lib/opkg/info/kmod-qpic_panel_ertft.control:Installed-Size: 96
/usr/lib/opkg/info/kmod-rsrcmgr-netstandby-drv.control:Installed-Size: 12715
/usr/lib/opkg/info/kmod-sched-act-ipt.control:Installed-Size: 4665
/usr/lib/opkg/info/kmod-sched-act-police.control:Installed-Size: 4739
/usr/lib/opkg/info/kmod-sched-cake.control:Installed-Size: 15047
/usr/lib/opkg/info/kmod-sched-connmark.control:Installed-Size: 3675
/usr/lib/opkg/info/kmod-sched-core.control:Installed-Size: 56820
/usr/lib/opkg/info/kmod-sched-pie.control:Installed-Size: 4705
/usr/lib/opkg/info/kmod-sched-prio.control:Installed-Size: 4960
/usr/lib/opkg/info/kmod-sched-red.control:Installed-Size: 5774
/usr/lib/opkg/info/kmod-sched.control:Installed-Size: 45963
/usr/lib/opkg/info/kmod-scsi-core.control:Installed-Size: 82988
/usr/lib/opkg/info/kmod-sit.control:Installed-Size: 15170
/usr/lib/opkg/info/kmod-slhc.control:Installed-Size: 3736
/usr/lib/opkg/info/kmod-sound-core.control:Installed-Size: 191710
/usr/lib/opkg/info/kmod-spi-bitbang.control:Installed-Size: 2924
/usr/lib/opkg/info/kmod-tun.control:Installed-Size: 26721
/usr/lib/opkg/info/kmod-udptunnel4.control:Installed-Size: 2710
/usr/lib/opkg/info/kmod-udptunnel6.control:Installed-Size: 1953
/usr/lib/opkg/info/kmod-usb-acm.control:Installed-Size: 13385
/usr/lib/opkg/info/kmod-usb-configfs.control:Installed-Size: 96
/usr/lib/opkg/info/kmod-usb-core.control:Installed-Size: 129723
/usr/lib/opkg/info/kmod-usb-dwc3-internal.control:Installed-Size: 37586
/usr/lib/opkg/info/kmod-usb-dwc3-qcom-internal.control:Installed-Size: 5403
/usr/lib/opkg/info/kmod-usb-f-diag.control:Installed-Size: 7283
/usr/lib/opkg/info/kmod-usb-gadget.control:Installed-Size: 8058
/usr/lib/opkg/info/kmod-usb-gdiag.control:Installed-Size: 2196
/usr/lib/opkg/info/kmod-usb-lib-composite.control:Installed-Size: 23214
/usr/lib/opkg/info/kmod-usb-net-cdc-ether.control:Installed-Size: 5327
/usr/lib/opkg/info/kmod-usb-net-cdc-ncm.control:Installed-Size: 12731
/usr/lib/opkg/info/kmod-usb-net-huawei-cdc-ncm.control:Installed-Size: 2111
/usr/lib/opkg/info/kmod-usb-net-ipheth.control:Installed-Size: 4520
/usr/lib/opkg/info/kmod-usb-net-qmi-wwan.control:Installed-Size: 9709
/usr/lib/opkg/info/kmod-usb-net-rndis.control:Installed-Size: 5725
/usr/lib/opkg/info/kmod-usb-net.control:Installed-Size: 17076
/usr/lib/opkg/info/kmod-usb-phy-ipq5018.control:Installed-Size: 4973
/usr/lib/opkg/info/kmod-usb-serial-option.control:Installed-Size: 7724
/usr/lib/opkg/info/kmod-usb-serial-wwan.control:Installed-Size: 5957
/usr/lib/opkg/info/kmod-usb-serial.control:Installed-Size: 17496
/usr/lib/opkg/info/kmod-usb-storage-uas.control:Installed-Size: 9247
/usr/lib/opkg/info/kmod-usb-storage.control:Installed-Size: 25914
/usr/lib/opkg/info/kmod-usb-wdm.control:Installed-Size: 9559
/usr/lib/opkg/info/kmod-usb-xhci-hcd.control:Installed-Size: 83915
/usr/lib/opkg/info/kmod-usb3.control:Installed-Size: 7622
/usr/lib/opkg/info/kmod-veth.control:Installed-Size: 8861
/usr/lib/opkg/info/kmod-vxlan.control:Installed-Size: 28698
/usr/lib/opkg/info/kmod-wifidog-ng.control:Installed-Size: 4770
/usr/lib/opkg/info/kmod-wireguard.control:Installed-Size: 68893
/usr/lib/opkg/info/libatomic1.control:Installed-Size: 8089
/usr/lib/opkg/info/libattr.control:Installed-Size: 7013
/usr/lib/opkg/info/libavahi-client.control:Installed-Size: 19516
/usr/lib/opkg/info/libavahi-dbus-support.control:Installed-Size: 81257
/usr/lib/opkg/info/libblkid1.control:Installed-Size: 118850
/usr/lib/opkg/info/libblobmsg-json20230523.control:Installed-Size: 4434
/usr/lib/opkg/info/libbpf1.control:Installed-Size: 146085
/usr/lib/opkg/info/libbz2-1.0.control:Installed-Size: 26580
/usr/lib/opkg/info/libc.control:Installed-Size: 285258
/usr/lib/opkg/info/libcap-ng.control:Installed-Size: 8912
/usr/lib/opkg/info/libcap.control:Installed-Size: 16272
/usr/lib/opkg/info/libcomerr0.control:Installed-Size: 4403
/usr/lib/opkg/info/libcurl4.control:Installed-Size: 207684
/usr/lib/opkg/info/libdaemon.control:Installed-Size: 9895
/usr/lib/opkg/info/libdbus.control:Installed-Size: 135419
/usr/lib/opkg/info/libelf1.control:Installed-Size: 42432
/usr/lib/opkg/info/libev.control:Installed-Size: 24141
/usr/lib/opkg/info/libevent2-7.control:Installed-Size: 106850
/usr/lib/opkg/info/libexif.control:Installed-Size: 82312
/usr/lib/opkg/info/libexpat.control:Installed-Size: 46189
/usr/lib/opkg/info/libext2fs2.control:Installed-Size: 192661
/usr/lib/opkg/info/libf2fs6.control:Installed-Size: 42177
/usr/lib/opkg/info/libffmpeg-audio-dec.control:Installed-Size: 888471
/usr/lib/opkg/info/libflac.control:Installed-Size: 178310
/usr/lib/opkg/info/libgcc1.control:Installed-Size: 36146
/usr/lib/opkg/info/libgcrypt.control:Installed-Size: 415988
/usr/lib/opkg/info/libgmp10.control:Installed-Size: 221863
/usr/lib/opkg/info/libgnutls.control:Installed-Size: 915488
/usr/lib/opkg/info/libgpg-error.control:Installed-Size: 61526
/usr/lib/opkg/info/libhyficommon.control:Installed-Size: 33686
/usr/lib/opkg/info/libi2c.control:Installed-Size: 2406
/usr/lib/opkg/info/libid3tag.control:Installed-Size: 31004
/usr/lib/opkg/info/libimobiledevice.control:Installed-Size: 61790
/usr/lib/opkg/info/libipset13.control:Installed-Size: 52397
/usr/lib/opkg/info/libiptext-nft0.control:Installed-Size: 3654
/usr/lib/opkg/info/libiptext0.control:Installed-Size: 41559
/usr/lib/opkg/info/libiptext6-0.control:Installed-Size: 8757
/usr/lib/opkg/info/libiwinfo-lua.control:Installed-Size: 8933
/usr/lib/opkg/info/libiwinfo-lua54.control:Installed-Size: 2432
/usr/lib/opkg/info/libiwinfo20230701.control:Installed-Size: 38570
/usr/lib/opkg/info/libjpeg-turbo.control:Installed-Size: 112991
/usr/lib/opkg/info/libjson-c5.control:Installed-Size: 29745
/usr/lib/opkg/info/libjson-script20230523.control:Installed-Size: 5820
/usr/lib/opkg/info/liblua5.1.5.control:Installed-Size: 79483
/usr/lib/opkg/info/liblua5.4-5.4.control:Installed-Size: 110644
/usr/lib/opkg/info/liblucihttp-lua.control:Installed-Size: 3711
/usr/lib/opkg/info/liblucihttp-ucode.control:Installed-Size: 4325
/usr/lib/opkg/info/liblucihttp0.control:Installed-Size: 8482
/usr/lib/opkg/info/liblz4-1.control:Installed-Size: 52899
/usr/lib/opkg/info/liblzma.control:Installed-Size: 66019
/usr/lib/opkg/info/liblzo2.control:Installed-Size: 38574
/usr/lib/opkg/info/libmagic.control:Installed-Size: 283281
/usr/lib/opkg/info/libminiupnpc.control:Installed-Size: 21681
/usr/lib/opkg/info/libmnl0.control:Installed-Size: 7419
/usr/lib/opkg/info/libnatpmp1.control:Installed-Size: 3833
/usr/lib/opkg/info/libncurses6.control:Installed-Size: 192191
/usr/lib/opkg/info/libnetfilter-conntrack3.control:Installed-Size: 40043
/usr/lib/opkg/info/libnetfilter-cthelper0.control:Installed-Size: 4674
/usr/lib/opkg/info/libnetfilter-cttimeout1.control:Installed-Size: 4604
/usr/lib/opkg/info/libnetfilter-queue1.control:Installed-Size: 11052
/usr/lib/opkg/info/libnettle8.control:Installed-Size: 358439
/usr/lib/opkg/info/libnfnetlink0.control:Installed-Size: 10855
/usr/lib/opkg/info/libnftnl11.control:Installed-Size: 65703
/usr/lib/opkg/info/libnghttp2-14.control:Installed-Size: 74425
/usr/lib/opkg/info/libnl-cli200.control:Installed-Size: 12899
/usr/lib/opkg/info/libnl-core200.control:Installed-Size: 45421
/usr/lib/opkg/info/libnl-genl200.control:Installed-Size: 8800
/usr/lib/opkg/info/libnl-nf200.control:Installed-Size: 33196
/usr/lib/opkg/info/libnl-ppe.control:Installed-Size: 5987
/usr/lib/opkg/info/libnl-route200.control:Installed-Size: 184335
/usr/lib/opkg/info/libnl-tiny1.control:Installed-Size: 17508
/usr/lib/opkg/info/libnl200.control:Installed-Size: 96
/usr/lib/opkg/info/libogg0.control:Installed-Size: 17960
/usr/lib/opkg/info/libopenssl-conf.control:Installed-Size: 5475
/usr/lib/opkg/info/libopenssl-legacy.control:Installed-Size: 37375
/usr/lib/opkg/info/libopenssl3.control:Installed-Size: 2049085
/usr/lib/opkg/info/libpcap1.control:Installed-Size: 103361
/usr/lib/opkg/info/libpcre.control:Installed-Size: 84138
/usr/lib/opkg/info/libplist.control:Installed-Size: 23835
/usr/lib/opkg/info/libpopt0.control:Installed-Size: 20341
/usr/lib/opkg/info/libpthread.control:Installed-Size: 117
/usr/lib/opkg/info/libreadline8.control:Installed-Size: 144177
/usr/lib/opkg/info/libroxml2.control:Installed-Size: 10750
/usr/lib/opkg/info/librt.control:Installed-Size: 117
/usr/lib/opkg/info/libsmartcols1.control:Installed-Size: 46622
/usr/lib/opkg/info/libsqlite3-0.control:Installed-Size: 554865
/usr/lib/opkg/info/libss2.control:Installed-Size: 9564
/usr/lib/opkg/info/libstdcpp6.control:Installed-Size: 593727
/usr/lib/opkg/info/libtasn1.control:Installed-Size: 33161
/usr/lib/opkg/info/libtcmd.control:Installed-Size: 5222
/usr/lib/opkg/info/libtirpc.control:Installed-Size: 67065
/usr/lib/opkg/info/libubox-lua.control:Installed-Size: 4550
/usr/lib/opkg/info/libubox20230523.control:Installed-Size: 25032
/usr/lib/opkg/info/libubus-lua.control:Installed-Size: 7521
/usr/lib/opkg/info/libubus20230605.control:Installed-Size: 11901
/usr/lib/opkg/info/libuci-lua.control:Installed-Size: 8336
